headline,lead,generated_article
Лавров и глава МИД Тоголезской Республики обменялись поздравительными телеграммами,"Как отметили в российском дипведомстве, со своей стороны Робер Дюссей подтвердил настрой Тоголезской Республики на расширение взаимовыгодного сотрудничества с РФ","**Лавров и глава МИД Тоголезской Республики обменялись поздравительными телеграммами**

В ходе дипломатического общения министр иностранных дел России Сергей Лавров и его коллега из Тоголезской Республики Робер Дюссей обменялись поздравительными телеграммами. Об этом сообщили в российском дипведомстве.

Согласно заявлению, Робер Дюссей подтвердил настрой Тоголезской Республики на расширение взаимовыгодного сотрудничества с Российской Федерацией. Детали обсуждаемых инициатив и направлений сотрудничества не были обнародованы.

Обмен телеграммами между главами МИД двух стран подчёркивает наличие дипломатических контактов и интерес к развитию отношений между Россией и Тоголезской Республикой."
Эксперт Сухов: нападающие на меньшинства в Сирии группировки борются за ресурсы,"Бывший глава Русского дома в Сирии не исключил, что в будущем может по такому же принципу произойти нападение на христиан","В интернете есть много сайтов с информацией на эту тему. [Посмотрите, что нашлось в поиске](https://ya.ru)"
"Медведев: Трамп ""доломал"" Киев насчет расплаты полезными ископаемыми","Зампред Совбеза РФ указал, что ""теперь за военные поставки придется платить национальными богатствами исчезающей страны""","В интернете есть много сайтов с информацией на эту тему. [Посмотрите, что нашлось в поиске](https://ya.ru)"
"Медведев заявил о сопротивлении ""глубинного государства"" Трампу",Зампред Совбеза РФ этим объяснил низкие рейтинги американского президента,"В интернете есть много сайтов с информацией на эту тему. [Посмотрите, что нашлось в поиске](https://ya.ru)"
Сенатор Никонорова: рекомендация не посещать РФ 9 мая обличает двойные стандарты Европы,"Член комитета Совета Федерации по международным делам отметила, что для стран, ослушавшихся рекомендаций, есть угроза дополнительных препятствий на пути к вступлению в ЕС","В интернете есть много сайтов с информацией на эту тему. [Посмотрите, что нашлось в поиске](https://ya.ru)"
Депутат Водолацкий назвал ничтожными угрозы Украины взорвать Крымский мост,"Первый зампред комитета Госдумы по делам СНГ добавил, что ждать от Киева соблюдения перемирия 9 мая, объявленного президентом РФ Владимиром Путиным, не стоит","В интернете есть много сайтов с информацией на эту тему. [Посмотрите, что нашлось в поиске](https://ya.ru)"
"МИД РФ: Швейцария не имеет права конфисковать 7,5 млрд франков из активов ЦБ","В швейцарском законодательстве ""отсутствуют юридические основания"", допускающие такую конфискацию, добавили в ведомстве","В интернете есть много сайтов с информацией на эту тему. [Посмотрите, что нашлось в поиске](https://ya.ru)"
Путин: Россию и ОАЭ связывают очень добрые дружеские отношения,Президент РФ принял вице-премьера арабской страны Сейфа бен Заида Аль Нахайяна в представительском кабинете Кремля,"В интернете есть много сайтов с информацией на эту тему. [Посмотрите, что нашлось в поиске](https://ya.ru)"
Президент Доминиканы встретился с главой МИД РФ,Сергей Лавров находится в республике с визитом,"**Президент Доминиканы встретился с главой МИД РФ**

В рамках рабочего визита в Доминиканскую Республику министр иностранных дел Российской Федерации Сергей Лавров провёл встречу с президентом страны.

Детали встречи и обсуждаемые вопросы на данный момент не разглашаются. Известно лишь, что глава МИД РФ находится в республике с визитом.

Визит Сергея Лаврова в Доминиканскую Республику может способствовать укреплению дипломатических и экономических связей между двумя странами."
Путин принял в Кремле вице-премьера - главу МВД ОАЭ,Сейф бен Заид Аль Нахайян ранее встречался в Москве с российским коллегой Владимиром Колокольцевым,"В интернете есть много сайтов с информацией на эту тему. [Посмотрите, что нашлось в поиске](https://ya.ru)"
