headline,newspaper,ai_model,approach,file,headline_length,generated_rouge1_f,generated_rouge2_f,generated_rougeL_f,generated_hl_rouge1_f,generated_hl_rouge2_f,generated_hl_rougeL_f,original_hl_rouge1_f,original_hl_rouge2_f,original_hl_rougeL_f
"Президент Сербии Александр Вучич досрочно прервал визит в США из-за болезни, его госпитализировали",tvrain,gpt,neutral,tvrain_combined_gpt_04_05_18_42.csv,13,0.08917197167430738,0.010416664029948584,0.08917197167430738,0.24050632619772475,0.10582010337112628,0.24050632619772475,0.18181817681983486,0.07017543361034201,0.18181817681983486
Силовики сорвали концерт в баре Екатеринбурга,tvrain,gpt,neutral,tvrain_combined_gpt_04_05_18_42.csv,6,0.08888888497777794,0.0,0.07777777386666686,0.1935483845694069,0.10638297649615215,0.1935483845694069,0.11267605195794503,0.0,0.11267605195794503
На Москву и Подмосковье обрушился сильный снегопад,tvrain,gpt,neutral,tvrain_combined_gpt_04_05_18_42.csv,7,0.16470587816870444,0.04545454148760365,0.1411764664039986,0.08465608365387309,0.04255319059701224,0.07407407307186249,0.04651162585181188,0.0,0.04651162585181188
"Цена на «однушку» в Москве выросла на 86% за пять лет, цена студии — на 97%",tvrain,gpt,neutral,tvrain_combined_gpt_04_05_18_42.csv,16,0.2571428528684808,0.06451612497270102,0.24761904334467122,0.27173912709416354,0.1513944190727132,0.22826086622459837,0.19230768762019243,0.09230768753964522,0.1730769183894232
"Во Владивостоке прошел детский парад «Правнуки Победы», на который пригласили детей из КНДР",tvrain,gpt,neutral,tvrain_combined_gpt_04_05_18_42.csv,13,0.07446808175645103,0.009009005941077257,0.06382978388411063,0.3118279537380044,0.2090909061157025,0.3010752655659614,0.20512820013149255,0.02439023890541447,0.17948717449046694
В ближайшие дни на Землю упадет советская межпланетная станция «Космос-482» весом в полтонны,tvrain,gpt,neutral,tvrain_combined_gpt_04_05_18_42.csv,13,0.22480619662730617,0.04294478044544448,0.20930232065831395,0.17894736480609424,0.08230452348049937,0.17894736480609424,0.13924050225524767,0.05464480477171637,0.12658227440714642
"Ученые создали лекарство, нейтрализующее яд 19 самых смертоносных змей",tvrain,gpt,neutral,tvrain_combined_gpt_04_05_18_42.csv,9,0.12318840110060929,0.0,0.11594202428901511,0.2616822398357936,0.12799999720448008,0.21495326787317673,0.10958903699756067,0.0,0.09589040686057437
Релиз GTA VI перенесли на май 2026 года,tvrain,gpt,neutral,tvrain_combined_gpt_04_05_18_42.csv,8,0.20740740280356662,0.0434782563911505,0.19259258798875187,0.12244897752030405,0.05907172813758486,0.12244897752030405,0.1666666635680556,0.04511277899711705,0.14999999690138896
Лавров и глава МИД Тоголезской Республики обменялись поздравительными телеграммами,tass,gpt,neutral,tass_combined_gpt_01_05_12_05.csv,9,0.287128707920302,0.12875535989537495,0.2673267277222822,0.26086956206994333,0.11320754435030267,0.26086956206994333,0.45762711511490956,0.3593749966711427,0.44067796257253666
Президент Доминиканы встретился с главой МИД РФ,tass,gpt,neutral,tass_combined_gpt_01_05_12_05.csv,7,0.21238937568760288,0.060377353690566425,0.19469026064335512,0.15068492988459373,0.08139534743983236,0.13698629974760743,0.1698113186027056,0.08403361149918796,0.1698113186027056
