headline,newspaper,ai_model,approach,file,original_location_date,generated_location_date,original_quotes,generated_quotes,original_officials,generated_officials,original_sources,generated_sources
"Президент Сербии Александр Вучич досрочно прервал визит в США из-за болезни, его госпитализировали",tvrain,gpt,neutral,tvrain_combined_gpt_04_05_18_42.csv,False,False,0,1,0,2,1,2
Силовики сорвали концерт в баре Екатеринбурга,tvrain,gpt,neutral,tvrain_combined_gpt_04_05_18_42.csv,False,False,3,3,0,0,0,0
На Москву и Подмосковье обрушился сильный снегопад,tvrain,gpt,neutral,tvrain_combined_gpt_04_05_18_42.csv,False,False,1,2,0,0,0,3
"Цена на «однушку» в Москве выросла на 86% за пять лет, цена студии — на 97%",tvrain,gpt,neutral,tvrain_combined_gpt_04_05_18_42.csv,False,False,1,3,0,0,0,1
"Во Владивостоке прошел детский парад «Правнуки Победы», на который пригласили детей из КНДР",tvrain,gpt,neutral,tvrain_combined_gpt_04_05_18_42.csv,False,False,1,1,0,0,1,1
В ближайшие дни на Землю упадет советская межпланетная станция «Космос-482» весом в полтонны,tvrain,gpt,neutral,tvrain_combined_gpt_04_05_18_42.csv,False,False,3,4,0,0,0,1
"Ученые создали лекарство, нейтрализующее яд 19 самых смертоносных змей",tvrain,gpt,neutral,tvrain_combined_gpt_04_05_18_42.csv,False,False,0,0,0,0,0,0
Релиз GTA VI перенесли на май 2026 года,tvrain,gpt,neutral,tvrain_combined_gpt_04_05_18_42.csv,False,False,1,0,0,0,0,0
Лавров и глава МИД Тоголезской Республики обменялись поздравительными телеграммами,tass,gpt,neutral,tass_combined_gpt_01_05_12_05.csv,True,False,1,0,2,4,2,3
Президент Доминиканы встретился с главой МИД РФ,tass,gpt,neutral,tass_combined_gpt_01_05_12_05.csv,True,False,1,0,3,1,1,1
Кабмин одобрил проект соглашения о безвизовом режиме с Мьянмой,tass,gpt,neutral,tass_combined_gpt_01_05_12_05.csv,True,False,1,1,1,0,0,0
"Йеллен: пошлины, введенные Трампом, грозят стране рецессией",tass,gpt,neutral,tass_combined_gpt_01_05_12_05.csv,True,False,4,1,2,2,1,1
"Группа ""Аэрофлот"" с июня запустит два регулярных рейса между Красноярском и Анадырем",tass,gpt,neutral,tass_combined_gpt_01_05_12_05.csv,True,False,7,5,0,0,2,1
Цена Brent на ICE опустилась ниже $60 за баррель впервые с 9 апреля,tass,gpt,neutral,tass_combined_gpt_01_05_12_05.csv,True,False,0,0,0,0,1,0
Посол РФ: сумма инвестиций России в Казахстан вдвое больше официальных данных,tass,gpt,neutral,tass_combined_gpt_01_05_12_05.csv,True,False,2,2,1,3,0,0
В РФ дилеры ожидают роста продаж новых легковых авто за апрель на 15-20%,tass,gpt,neutral,tass_combined_gpt_01_05_12_05.csv,True,False,6,1,2,0,0,1
Башкирия намерена делать упор на несырьевом неэнергетическом экспорте и экспорте услуг,tass,gpt,neutral,tass_combined_gpt_01_05_12_05.csv,True,False,3,2,1,2,0,0
FT: ЕС может ограничить сроки соглашения с Лондоном в области продовольствия,tass,gpt,neutral,tass_combined_gpt_01_05_12_05.csv,True,False,1,0,0,0,2,0
"""Авито Услуги"": спрос на услуги нянь в апреле в России вырос на 8%",tass,gpt,neutral,tass_combined_gpt_01_05_12_05.csv,True,False,6,2,0,0,0,0
В Госдуме опровергли сообщения о необходимости регистрации теплиц на дачах,tass,gpt,neutral,tass_combined_gpt_01_05_12_05.csv,True,False,2,2,2,2,0,0
"На первый конкурс Президентского фонда природы подали более 1,6 тыс. заявок",tass,gpt,neutral,tass_combined_gpt_01_05_12_05.csv,True,False,2,2,2,0,1,3
В Москве более 500 человек приняли участие в акции солидарности профсоюзов,tass,gpt,neutral,tass_combined_gpt_01_05_12_05.csv,True,False,4,0,1,0,3,1
"В Тверской области слесарь первым получил звание ""Герой Труда""",tass,gpt,neutral,tass_combined_gpt_01_05_12_05.csv,True,False,3,4,1,0,2,0
