article,is_actually_fake,is_fake,confidence,iteration,source_file,row_index,article_column
"**Президент Сербии Александр Вучич досрочно прервал визит в США из-за болезни, его госпитализировали**

Белград, [дата] — Президент Сербии Александр Вучич был экстренно госпитализирован в США, где он находился с рабочим визитом. Об этом сообщила сербская государственная телерадиокомпания РТС.

По данным СМИ, состояние здоровья президента резко ухудшилось, что потребовало немедленной медицинской помощи. Подробности о диагнозе и текущем состоянии главы государства пока не разглашаются.

Визит Вучича в Соединённые Штаты был запланирован для обсуждения ряда важных вопросов, включая экономическое сотрудничество и политическую ситуацию в регионе. Однако из-за внезапной болезни президенту пришлось прервать свою поездку и сосредоточиться на восстановлении здоровья.

Официальные представители пока не дают комментариев относительно того, как долго президент пробудет в больнице и когда он сможет вернуться в Сербию. В правительстве страны надеются на скорейшее выздоровление Александра Вучича и его возвращение к исполнению своих обязанностей.",True,True,75,1,tvrain_combined_yandex_04_05_18_42.csv,0,yandex_generated_universal_approach
"**Президент Сербии Александр Вучич досрочно прервал визит в США из-за болезни, его госпитализировали**

Белград, [дата] — Президент Сербии Александр Вучич был экстренно госпитализирован в США, где он находился с рабочим визитом. Об этом сообщила сербская государственная телерадиокомпания РТС.

По данным СМИ, состояние здоровья президента резко ухудшилось, что потребовало немедленной медицинской помощи. Подробности о диагнозе и текущем состоянии главы государства пока не разглашаются.

Визит Вучича в Соединённые Штаты был запланирован для обсуждения ряда важных вопросов, включая экономическое сотрудничество и политическую ситуацию в регионе. Однако из-за внезапной болезни президенту пришлось прервать свою поездку и сосредоточиться на восстановлении здоровья.

Официальные представители пока не дают комментариев относительно того, как долго президент пробудет в больнице и когда он сможет вернуться в Сербию. В правительстве страны надеются на скорейшее выздоровление Александра Вучича и его возвращение к исполнению своих обязанностей.",True,True,80,2,tvrain_combined_yandex_04_05_18_42.csv,0,yandex_generated_universal_approach
"**Силовики сорвали концерт в баре Екатеринбурга**

Вечером 3 мая полицейские прервали концерт в баре Syndrome в Екатеринбурге. Об этом пишет издание E1.RU со ссылкой на одного из посетителей.

Подробности произошедшего пока не уточняются. Причины, по которым силовики решили прервать мероприятие, также не разглашаются.

Представители правоохранительных органов и администрации бара пока не прокомментировали ситуацию.",True,False,80,1,tvrain_combined_yandex_04_05_18_42.csv,1,yandex_generated_neutral_approach
"**Силовики сорвали концерт в баре Екатеринбурга**

Вечером 3 мая полицейские прервали концерт в баре Syndrome в Екатеринбурге. Об этом пишет издание E1.RU со ссылкой на одного из посетителей.

Подробности произошедшего пока не уточняются. Причины, по которым силовики решили прервать мероприятие, также не разглашаются.

Представители правоохранительных органов и администрации бара пока не прокомментировали ситуацию.",True,False,65,2,tvrain_combined_yandex_04_05_18_42.csv,1,yandex_generated_neutral_approach
"**На Москву и Подмосковье обрушился сильный снегопад**

Сегодня на Москву и Московскую область обрушился мощный снегопад, который стал настоящим испытанием для городских служб и жителей.

По данным метеорологических служб, снегопад начался утром и продолжался в течение всего дня, покрывая улицы и дороги толстым слоем снега. В некоторых районах высота снежного покрова достигла рекордных значений, что создало серьёзные проблемы для передвижения транспорта и пешеходов.

Городские службы оперативно отреагировали на ситуацию, выведя на улицы снегоуборочную технику и привлекая дополнительные ресурсы для очистки дорог и тротуаров. Однако, несмотря на все усилия, движение в городе было сильно затруднено, а многие дороги оказались заблокированы из-за снежных заносов.

Жителям Москвы и Подмосковья рекомендуется по возможности оставаться дома и не выезжать на своих автомобилях, чтобы не создавать дополнительных пробок и не усложнять работу снегоуборочной техники.

Местные власти призывают граждан быть внимательными и осторожными, особенно при переходе дорог и движении по скользким тротуарам. Также рекомендуется следить за официальными сообщениями и обновлениями от городских служб и метеорологических центров.",True,True,82,1,tvrain_combined_yandex_04_05_18_42.csv,2,yandex_generated_universal_approach
"**На Москву и Подмосковье обрушился сильный снегопад**

Сегодня на Москву и Московскую область обрушился мощный снегопад, который стал настоящим испытанием для городских служб и жителей.

По данным метеорологических служб, снегопад начался утром и продолжался в течение всего дня, покрывая улицы и дороги толстым слоем снега. В некоторых районах высота снежного покрова достигла рекордных значений, что создало серьёзные проблемы для передвижения транспорта и пешеходов.

Городские службы оперативно отреагировали на ситуацию, выведя на улицы снегоуборочную технику и привлекая дополнительные ресурсы для очистки дорог и тротуаров. Однако, несмотря на все усилия, движение в городе было сильно затруднено, а многие дороги оказались заблокированы из-за снежных заносов.

Жителям Москвы и Подмосковья рекомендуется по возможности оставаться дома и не выезжать на своих автомобилях, чтобы не создавать дополнительных пробок и не усложнять работу снегоуборочной техники.

Местные власти призывают граждан быть внимательными и осторожными, особенно при переходе дорог и движении по скользким тротуарам. Также рекомендуется следить за официальными сообщениями и обновлениями от городских служб и метеорологических центров.",True,True,85,2,tvrain_combined_yandex_04_05_18_42.csv,2,yandex_generated_universal_approach
"**Цена на «однушку» в Москве выросла на 86% за пять лет, цена студии — на 97%**

Средняя цена однокомнатной квартиры в новостройках Москвы «массового сегмента» за последние пять лет выросла на 86%, сообщает РБК со ссылкой на аналитиков. При этом на вторичном рынке жилья за тот же период цена увеличилась только на 32%.

Согласно предоставленным данным, рост цен на первичном рынке недвижимости в Москве значительно опережает динамику цен на вторичном рынке. Это может быть связано с различными факторами, включая изменение спроса и предложения, экономическую ситуацию в стране и регионе, а также с политикой застройщиков и банков в области кредитования.

Более детальный анализ причин такого роста цен и его возможных последствий для рынка недвижимости Москвы и её жителей потребует дополнительных исследований и комментариев экспертов.",True,True,80,1,tvrain_combined_yandex_04_05_18_42.csv,3,yandex_generated_neutral_approach
"**Цена на «однушку» в Москве выросла на 86% за пять лет, цена студии — на 97%**

Средняя цена однокомнатной квартиры в новостройках Москвы «массового сегмента» за последние пять лет выросла на 86%, сообщает РБК со ссылкой на аналитиков. При этом на вторичном рынке жилья за тот же период цена увеличилась только на 32%.

Согласно предоставленным данным, рост цен на первичном рынке недвижимости в Москве значительно опережает динамику цен на вторичном рынке. Это может быть связано с различными факторами, включая изменение спроса и предложения, экономическую ситуацию в стране и регионе, а также с политикой застройщиков и банков в области кредитования.

Более детальный анализ причин такого роста цен и его возможных последствий для рынка недвижимости Москвы и её жителей потребует дополнительных исследований и комментариев экспертов.",True,True,85,2,tvrain_combined_yandex_04_05_18_42.csv,3,yandex_generated_neutral_approach
"**Во Владивостоке прошёл детский парад «Правнуки Победы», на который пригласили детей из КНДР**

Во Владивостоке состоялся детский парад «Правнуки Победы», в котором приняли участие 1500 учащихся младших классов из школ Приморья и дети из КНДР. Об этом сообщил в своём телеграм-канале губернатор Приморского края Олег Кожемяко.

Парад стал первым мероприятием такого масштаба, объединившим детей из разных регионов. По словам губернатора, событие было направлено на укрепление дружбы и взаимопонимания между народами.

Участники парада прошли по улицам Владивостока, демонстрируя свои творческие номера и патриотические костюмы. Мероприятие оставило яркие впечатления у всех присутствующих и стало символом мирного сотрудничества и дружбы между Россией и КНДР.",True,False,70,1,tvrain_combined_yandex_04_05_18_42.csv,4,yandex_generated_universal_approach
"**Во Владивостоке прошёл детский парад «Правнуки Победы», на который пригласили детей из КНДР**

Во Владивостоке состоялся детский парад «Правнуки Победы», в котором приняли участие 1500 учащихся младших классов из школ Приморья и дети из КНДР. Об этом сообщил в своём телеграм-канале губернатор Приморского края Олег Кожемяко.

Парад стал первым мероприятием такого масштаба, объединившим детей из разных регионов. По словам губернатора, событие было направлено на укрепление дружбы и взаимопонимания между народами.

Участники парада прошли по улицам Владивостока, демонстрируя свои творческие номера и патриотические костюмы. Мероприятие оставило яркие впечатления у всех присутствующих и стало символом мирного сотрудничества и дружбы между Россией и КНДР.",True,True,75,2,tvrain_combined_yandex_04_05_18_42.csv,4,yandex_generated_universal_approach
