headline,lead,generated_article
Лавров и глава МИД Тоголезской Республики обменялись поздравительными телеграммами,"Как отметили в российском дипведомстве, со своей стороны Робер Дюссей подтвердил настрой Тоголезской Республики на расширение взаимовыгодного сотрудничества с РФ","**Министр иностранных дел РФ Сергей Лавров и министр иностранных дел, африканской интеграции и тогского диаспора Робер Дюссей обменялись поздравительными телеграммами**

МОСКВА, 15 марта. /ТАСС/. Министр иностранных дел Российской Федерации Сергей Лавров и глава Министерства иностранных дел, африканской интеграции и тогской диаспоры Тоголезской Республики Робер Дюссей обменялись поздравительными телеграммами. Об этом сообщили в МИД РФ.

В российском дипведомстве отметили, что в ходе обмена телеграммами стороны подтвердили настрой на расширение взаимовыгодного сотрудничества между Россией и Тоголезской Республикой.

«Глава МИД Тоголезской Республики Робер Дюссей подтвердил настрой на расширение взаимовыгодного сотрудничества с Российской Федерацией», — подчеркнули в МИД РФ.

Отношения между Россией и Тоголезской Республикой строятся на основе взаимного уважения и учёта интересов друг друга. Обе страны заинтересованы в развитии сотрудничества в различных областях, включая экономику, торговлю, культуру и образование."
Эксперт Сухов: нападающие на меньшинства в Сирии группировки борются за ресурсы,"Бывший глава Русского дома в Сирии не исключил, что в будущем может по такому же принципу произойти нападение на христиан","В интернете есть много сайтов с информацией на эту тему. [Посмотрите, что нашлось в поиске](https://ya.ru)"
"Медведев: Трамп ""доломал"" Киев насчет расплаты полезными ископаемыми","Зампред Совбеза РФ указал, что ""теперь за военные поставки придется платить национальными богатствами исчезающей страны""","В интернете есть много сайтов с информацией на эту тему. [Посмотрите, что нашлось в поиске](https://ya.ru)"
"Медведев заявил о сопротивлении ""глубинного государства"" Трампу",Зампред Совбеза РФ этим объяснил низкие рейтинги американского президента,"В интернете есть много сайтов с информацией на эту тему. [Посмотрите, что нашлось в поиске](https://ya.ru)"
Сенатор Никонорова: рекомендация не посещать РФ 9 мая обличает двойные стандарты Европы,"Член комитета Совета Федерации по международным делам отметила, что для стран, ослушавшихся рекомендаций, есть угроза дополнительных препятствий на пути к вступлению в ЕС","В интернете есть много сайтов с информацией на эту тему. [Посмотрите, что нашлось в поиске](https://ya.ru)"
Депутат Водолацкий назвал ничтожными угрозы Украины взорвать Крымский мост,"Первый зампред комитета Госдумы по делам СНГ добавил, что ждать от Киева соблюдения перемирия 9 мая, объявленного президентом РФ Владимиром Путиным, не стоит","В интернете есть много сайтов с информацией на эту тему. [Посмотрите, что нашлось в поиске](https://ya.ru)"
"МИД РФ: Швейцария не имеет права конфисковать 7,5 млрд франков из активов ЦБ","В швейцарском законодательстве ""отсутствуют юридические основания"", допускающие такую конфискацию, добавили в ведомстве","**МИД РФ заявил об отсутствии юридических оснований для конфискации активов ЦБ в Швейцарии**

МОСКВА, 

В Министерстве иностранных дел Российской Федерации заявили, что Швейцария не имеет права конфисковать 7,5 миллиарда франков из активов Центрального банка России. В ведомстве подчеркнули, что в швейцарском законодательстве «отсутствуют юридические основания», допускающие такую конфискацию.

«Подобные действия со стороны Швейцарии могут быть расценены как нарушение международных норм и принципов», — отметили в МИД РФ.

В министерстве также подчеркнули, что любые попытки конфискации активов Центрального банка России будут рассматриваться как неправомерные и противоречащие международному праву.

Ранее сообщалось, что Швейцария рассматривает возможность конфискации части активов Центрального банка России в рамках выполнения международных обязательств. Однако, по мнению МИД РФ, такие действия могут иметь негативные последствия для международных отношений и экономического сотрудничества."
Путин: Россию и ОАЭ связывают очень добрые дружеские отношения,Президент РФ принял вице-премьера арабской страны Сейфа бен Заида Аль Нахайяна в представительском кабинете Кремля,"**Путин: Россию и ОАЭ связывают очень добрые дружеские отношения**

Москва, ТАСС. Президент Российской Федерации Владимир Путин провёл встречу с вице-премьером Объединённых Арабских Эмиратов (ОАЭ) Сейфом бен Заидом Аль Нахайяном в представительском кабинете Кремля.

В ходе встречи были обсуждены актуальные вопросы двустороннего сотрудничества между Россией и ОАЭ. Президент Путин подчеркнул, что между двумя странами сложились очень добрые дружеские отношения, основанные на взаимном уважении и учёте интересов друг друга.

«Мы рады видеть вас в Москве и готовы продолжать активное сотрудничество в различных сферах», — отметил президент Путин.

Вице-премьер ОАЭ Сейф бен Заид Аль Нахайян выразил благодарность за тёплый приём и подтвердил готовность к дальнейшему развитию партнёрских отношений между ОАЭ и Россией.

Стороны обсудили перспективы расширения торгово-экономического сотрудничества, в том числе в области энергетики, промышленности и высоких технологий. Также были затронуты вопросы взаимодействия в гуманитарной сфере, включая образование и культуру.

По итогам встречи было отмечено, что Россия и ОАЭ намерены продолжать конструктивный диалог и укреплять многоплановое сотрудничество на благо народов обеих стран."
Президент Доминиканы встретился с главой МИД РФ,Сергей Лавров находится в республике с визитом,"**Президент Доминиканской Республики встретился с главой МИД РФ**

САНТО-ДОМИНГО, 1 марта /ТАСС/. Министр иностранных дел Российской Федерации Сергей Лавров в рамках рабочего визита в Доминиканскую Республику провёл встречу с президентом страны Луисом Абалой.

В ходе встречи обсуждались актуальные вопросы двусторонних отношений и сотрудничества в различных сферах, включая торговлю, экономику, культуру и образование.

Сергей Лавров подчеркнул важность укрепления дружественных связей между Россией и Доминиканской Республикой, а также выразил готовность к дальнейшему развитию сотрудничества на взаимовыгодной основе.

Президент Доминики Луис Абала, в свою очередь, отметил значимость визита главы МИД РФ для укрепления отношений между двумя странами и выразил заинтересованность в расширении сотрудничества в различных областях.

Стороны также обсудили актуальные международные вопросы и обменялись мнениями по поводу текущей ситуации на мировой арене.

Визит Сергея Лаврова в Доминиканскую Республику способствует укреплению дружественных отношений и развитию сотрудничества между двумя странами."
Путин принял в Кремле вице-премьера - главу МВД ОАЭ,Сейф бен Заид Аль Нахайян ранее встречался в Москве с российским коллегой Владимиром Колокольцевым,"**Путин принял в Кремле вице-премьера — главу МВД ОАЭ**

В Москве состоялась встреча президента Российской Федерации Владимира Путина с вице-премьером, министром внутренних дел Объединённых Арабских Эмиратов (ОАЭ) Сейфом бен Заидом Аль Нахайяном. Встреча прошла в дружественной атмосфере и была направлена на укрепление сотрудничества между двумя странами.

Ранее Сейф бен Заид Аль Нахайян провёл переговоры в Москве с российским коллегой Владимиром Колокольцевым. Обсуждались вопросы взаимодействия в сфере обеспечения безопасности, борьбы с преступностью и обмена опытом в области правоохранительной деятельности.

В ходе встречи с президентом Путиным были затронуты актуальные темы двусторонних отношений и международного сотрудничества. Лидеры обменялись мнениями о ситуации в регионе и мире, а также обсудили перспективы развития партнёрства в различных областях.

Российская сторона подчеркнула важность укрепления связей с ОАЭ в контексте общей стратегии по развитию международного сотрудничества и поддержанию региональной стабильности.

Визит вице-премьера ОАЭ в Россию свидетельствует о стремлении обеих стран к углублению диалога и расширению сотрудничества на различных уровнях."
